 S11, S22, S33, S12, S23, S31, wp
  6.146181E+001, -7.199705E+001,  0.000000E+000, -8.756863E+001,  7.962657E+000, -1.181831E+001,  3.203368E-001
  1.250111E+001, -5.344286E+001,  0.000000E+000,  8.107791E+001,  4.308148E+000, -1.295122E+001,  3.204326E-001
  7.331798E+001, -4.685270E+001,  0.000000E+000, -8.956905E+001,  4.088193E+000, -1.450889E+001,  3.202091E-001
  2.679501E+001, -2.533755E+001,  0.000000E+000,  8.469470E+001,  4.808416E+000, -1.116199E+001,  3.200367E-001
  8.230878E+001, -1.815232E+001,  0.000000E+000, -9.102916E+001, -6.659455E-001, -1.564299E+001,  3.201296E-001
  4.076149E+001, -6.285484E-001,  0.000000E+000,  8.662494E+001,  2.206110E+000, -7.684586E+000,  3.202186E-001
  8.914857E+001,  1.192644E+001,  0.000000E+000, -9.190927E+001, -5.915337E+000, -1.564711E+001,  3.203386E-001
  5.415321E+001,  2.343829E+001,  0.000000E+000,  8.805611E+001, -1.651083E+000, -3.306119E+000,  3.201974E-001
  9.690981E+001,  4.075746E+001,  0.000000E+000, -9.207917E+001, -1.060876E+001, -1.425363E+001,  3.200250E-001
  6.760785E+001,  4.822438E+001,  0.000000E+000,  8.939097E+001, -5.633602E+000,  9.969004E-001,  3.200480E-001
  1.060293E+002,  6.771920E+001,  0.000000E+000, -9.150449E+001, -1.478503E+001, -1.116445E+001,  3.202502E-001
  7.551371E+001,  6.858890E+001,  0.000000E+000,  9.033387E+001, -8.499398E+000,  4.560899E+000,  3.204332E-001
  1.143664E+002,  9.071442E+001,  0.000000E+000, -9.034565E+001, -1.845442E+001, -7.062104E+000,  3.203190E-001
  7.016071E+001,  7.517545E+001,  0.000000E+000,  9.047888E+001, -8.930747E+000,  6.933719E+000,  3.203619E-001
  1.223324E+002,  1.148226E+002,  0.000000E+000, -8.816865E+001, -2.043032E+001, -3.337223E+000,  3.201367E-001
  6.480797E+001,  8.152329E+001,  0.000000E+000,  9.041870E+001, -9.438472E+000,  8.980388E+000,  3.204007E-001
