 S11, S22, S33, S12, S23, S31, wp
  1.599590E+002,  2.951819E+002,  0.000000E+000,  6.345855E+001, -9.905754E-002, -4.268092E-004,  5.002010E-001
  1.560946E+002,  2.842671E+002,  0.000000E+000,  7.474840E+001, -9.096065E-002,  1.984791E-001,  5.008264E-001
  1.523051E+002,  2.736322E+002,  0.000000E+000,  8.488028E+001, -9.150938E-002,  3.383761E-001,  5.008674E-001
  1.481916E+002,  2.630785E+002,  0.000000E+000,  9.400365E+001, -1.591262E-001,  4.460776E-001,  5.005989E-001
  1.436655E+002,  2.522761E+002,  0.000000E+000,  1.020236E+002, -3.324223E-001,  5.745899E-001,  5.004831E-001
  1.388387E+002,  2.411828E+002,  0.000000E+000,  1.089138E+002, -5.410190E-001,  6.948162E-001,  5.002732E-001
  5.572186E+001, -2.098557E+002,  0.000000E+000, -9.455564E+001,  7.306855E-001, -4.678420E-001,  5.002251E-001
  5.951310E+001, -2.182183E+002,  0.000000E+000, -8.969210E+001,  6.532433E-001, -2.433122E-001,  5.006604E-001
  6.223712E+001, -2.267821E+002,  0.000000E+000, -8.412539E+001,  5.515226E-001, -8.518729E-003,  5.008909E-001
  6.344703E+001, -2.362925E+002,  0.000000E+000, -7.715864E+001,  4.218934E-001,  1.419420E-001,  5.000866E-001
  6.296781E+001, -2.471380E+002,  0.000000E+000, -6.840517E+001,  3.334391E-001,  1.263008E-001,  5.001569E-001
  6.126989E+001, -2.587951E+002,  0.000000E+000, -5.822904E+001,  3.007130E-001, -3.189621E-002,  5.000524E-001
  5.846545E+001, -2.712476E+002,  0.000000E+000, -4.649495E+001,  3.985366E-001, -2.813205E-001,  5.007134E-001
  5.483806E+001, -2.840690E+002,  0.000000E+000, -3.329993E+001,  6.073491E-001, -6.198097E-001,  5.003653E-001
  5.074309E+001, -2.966442E+002,  0.000000E+000, -1.886688E+001,  8.141257E-001, -9.023385E-001,  5.004084E-001
  4.747721E+001, -3.057548E+002,  0.000000E+000, -4.723691E+000,  9.129114E-001, -8.202515E-001,  5.000576E-001
  4.880513E+001, -3.042951E+002,  0.000000E+000,  7.720291E+000,  8.090806E-001, -5.272315E-001,  5.007975E-001
  5.266814E+001, -2.952726E+002,  0.000000E+000,  2.152706E+001,  7.367338E-001, -2.000861E-001,  5.001460E-001
  5.640875E+001, -2.844107E+002,  0.000000E+000,  3.482674E+001,  8.514995E-001,  1.940833E-001,  5.007460E-001
  5.974379E+001, -2.731919E+002,  0.000000E+000,  4.690201E+001,  9.135343E-001,  5.035422E-001,  5.008283E-001
  6.232389E+001, -2.622070E+002,  0.000000E+000,  5.741616E+001,  8.496036E-001,  6.657347E-001,  5.004381E-001
  6.371369E+001, -2.513503E+002,  0.000000E+000,  6.683978E+001,  6.912397E-001,  6.885816E-001,  5.002235E-001
  6.352251E+001, -2.408147E+002,  0.000000E+000,  7.507509E+001,  4.962799E-001,  6.389255E-001,  5.000690E-001
  6.153314E+001, -2.307368E+002,  0.000000E+000,  8.202910E+001,  3.214421E-001,  5.600889E-001,  5.005240E-001
  5.821895E+001, -2.208576E+002,  0.000000E+000,  8.805440E+001,  1.643556E-001,  4.910157E-001,  5.002771E-001
  5.406438E+001, -2.109027E+002,  0.000000E+000,  9.373187E+001,  4.279646E-002,  4.394916E-001,  5.006188E-001
  6.141808E+001, -1.961116E+002,  0.000000E+000, -9.805595E+001,  6.834079E-001, -5.013869E-001,  5.001925E-001
  6.035348E+001, -1.954844E+002,  0.000000E+000,  9.784008E+001, -7.196280E-003,  5.003749E-001,  5.002890E-001
  6.890013E+001, -1.782096E+002,  0.000000E+000, -1.021042E+002,  5.395173E-001, -5.080032E-001,  5.003108E-001
  6.862712E+001, -1.760856E+002,  0.000000E+000,  1.024071E+002,  1.431002E-002,  5.905826E-001,  5.006304E-001
  8.142708E+001, -1.523673E+002,  0.000000E+000, -1.067222E+002,  3.213073E-001, -3.418503E-001,  5.001793E-001
  8.118173E+001, -1.500198E+002,  0.000000E+000,  1.073995E+002,  4.320608E-002,  7.355202E-001,  5.003717E-001
  9.469549E+001, -1.242066E+002,  0.000000E+000, -1.114837E+002,  7.595371E-002, -1.094403E-001,  5.000021E-001
  9.437550E+001, -1.217883E+002,  0.000000E+000,  1.125005E+002,  1.393847E-001,  7.917211E-001,  5.000952E-001
  1.082191E+002, -9.446614E+001,  0.000000E+000, -1.161779E+002, -1.534810E-001,  1.518734E-001,  5.006816E-001
  1.077080E+002, -9.203065E+001,  0.000000E+000,  1.175735E+002,  2.739599E-001,  6.909787E-001,  5.005359E-001
  1.215800E+002, -6.355789E+001,  0.000000E+000, -1.205998E+002, -4.500205E-001,  1.471927E-001,  5.001807E-001
  1.207739E+002, -6.101536E+001,  0.000000E+000,  1.224919E+002,  3.569363E-001,  6.881707E-001,  5.004066E-001
